,question,answer
0,objective ifrs,objective ifrs ensure entity first ifrs financial statement interim financial report part period covered financial statement contain high quality information transparent user comparable period presented provides suitable starting point accounting accordance international financial reporting standard generated cost exceed benefit
1,basis conclusion,entity apply ifrs first ifrs financial statement interim financial report present accordance ias34 interim financial reporting part period covered first ifrs financial statement
2,definition financial statement,financial statement accordance ifrss entity first ifrs financial statement example entity presented recent previous financial statement accordance national requirement consistent ifrss respect conformity ifrss respect except financial statement contain explicit unreserved statement complied ifrss containing explicit statement compliance ifrss accordance national requirement inconsistent ifrss using individual ifrss account item national requirement exist accordance national requirement reconciliation amount amount determined accordance ifrss prepared financial statement accordance ifrss internal use without making available entity owner external user prepared reporting package accordance ifrss consolidation purpose without preparing complete set financial statement defined ias1 presentation financial statement present financial statement previous period
3,ifrs mean entity stop presenting financial statement,apply example entity stop presenting financial statement accordance national requirement previously presented well another set financial statement contained explicit unreserved statement compliance ifrss presented financial statement previous year accordance national requirement financial statement contained explicit unreserved statement compliance ifrss presented financial statement previous year contained explicit unreserved statement compliance ifrss even auditor qualified audit report financial statement
4,entity applied ifrss,notwithstanding requirement paragraphsandan entity applied ifrss previous reporting period whose recent previous annual financial statement contain explicit unreserved statement compliance ifrss must either apply ifrs else apply ifrss retrospectively accordance ias8 accounting policy change accounting estimate error entity never stopped applying ifrss
5,ifrs,entity elect apply ifrs accordance  4a entity nevertheless apply disclosure requirement  23a23b ifrs1 addition disclosure requirement ias8
6,requirement change accounting policy ias8 accounting policy,change subject requirement change accounting policy ias8 accounting policy change accounting estimate error specific transitional requirement ifrss
7,starting point accounting accordance ifrss,entity prepare present opening ifrs statement financial position date transition ifrss
8,entity use accounting policy opening ifrs statement financial position,accounting policy comply ifrs effective end first ifrs reporting period except specified paragraphsand appendix
9,purpose ,entity apply different version ifrss effective earlier date
10,transitional provision ifrss apply,transitional provision ifrss apply change accounting policy made entity already us ifrss apply firsttime adopter transition ifrss except specified appendix
11,entity opening ifrs statement financial position,except described paragraphsand appendix entity opening ifrs statement financial position recognise asset liability whose recognition required ifrss recognise item asset liability ifrss permit recognition reclassify item recognised accordance previous gaap one type asset liability component equity different type asset liability component equity accordance ifrss apply ifrss measuring recognised asset liability
12,accounting policy may differ entity used date using previous ga,accounting policy entity us opening ifrs statement financial position may differ used date using previous gaap
13,principle entity opening ifrs statement financial position comply,ifrs establishes two category exception principle entity opening ifrs statement financial position comply ifrs paragraphsand appendix b prohibit retrospective application aspect ifrss
14,exception retrospective application ifrss,exception set paragraphsand appendix b
15,purpose statement,entity estimate accordance ifrss date transition ifrss consistent estimate made date accordance previous gaap unless objective evidence estimate error
16,entity transition ifrss,entity reflect new information opening ifrs statement financial position
17,purpose ifrss,achieve consistency ias10 estimate accordance ifrss reflect condition existed date transition ifrss
18,paragraphsapply,also apply comparative period presented entity first ifrs financial statement case reference date transition ifrss replaced reference end comparative period
19,purpose exemption,entity may elect use one exemption contained appendix ce
20,ifrs provide exemption presentation disclosure requirement ifrs,ifrs provide exemption presentation disclosure requirement ifrss
21,definition ifrs,entity first ifrs financial statement include least three statement financial position two statement profit loss comprehensive income two separate statement profit loss two statement cash flow two statement change equity related note including comparative information statement presented
22,entity present historical summary comparative information accordance,financial statement containing historical summary comparative information accordance previous gaap entity label previous gaap information prominently prepared accordance ifrss disclose nature main adjustment would make comply ifrss
23,purpose statement,explanation effect transition reported cash flow disclosure text ifrs1
24,reason entity stopped applying ifrss,entity applied ifrss previous period described  4a disclose reason stopped applying ifrss description reason entity stopped applying ifrss disclosure text reason resuming application ifrss
25,entity apply ifrss,entity accordance  4a elect apply ifrs1 entity explain reason electing apply ifrss never stopped applying ifrss
26,basis conclusion,b10 b example ifrs17
27,purpose statement cash flow,explanation effect transition reported cash flow disclosure text ifrs1
28,purpose reconciliation required paragraphand,entity becomes aware error made previous gaap reconciliation required paragraphand distinguish correction error change accounting policy
29,apply change accounting policy entity make adopts ifrs,ias8 apply change accounting policy entity make adopts ifrss change policy present first ifrs financial statement
30,purpose statement,period covered first ifrs financial statement entity change accounting policy use exemption contained ifrs explain change first ifrs interim financial report first ifrs financial statement accordance paragraphand update reconciliation required paragraphand
31,ifrs statement company,entity present financial statement previous period first ifrs financial statement disclose fact
32,definition financial asset,entity permitted designate previously recognised financial asset financial asset measured fair value profit loss accordance  d19a
33,definition financial liability,entity permitted designate previously recognised financial liability financial liability fair value profit loss accordance  d19
34,ifrs statement financial position,entity us fair value opening ifrs statement financial position deemed cost item property plant equipment investment property intangible asset rightofuse asset entity first ifrs financial statement disclose line item opening ifrs statement financial position aggregate fair value aggregate fair value disclosure990000 aggregate adjustment carrying amount reported previous gaap
35,deemed cost investment deemed cost fair value,similarly entity us deemed cost opening ifrs statement financial position investment subsidiary joint venture associate separate financial statement entity first ifrs separate financial statement disclose aggregate deemed cost investment deemed cost previous gaap carrying amount aggregate deemed cost investment deemed cost previous gaap carrying amount disclosure monetaryinstant debit aggregate deemed cost investment deemed cost fair value aggregate deemed cost investment deemed cost fair value disclosure monetaryinstant debit aggregate adjustment carrying amount reported previous gaap
36,basis carrying amount determined previous gaap allocated,entity us exemption  d8a oil gas asset disclose fact basis carrying amount determined previous gaap allocated
37,basis carrying amount determined previous gaap,entity us exemption  d8b operation subject rate regulation disclose fact basis carrying amount determined previous gaap
38,purpose  d26d30,entity elect measure asset liability fair value use fair value deemed cost opening ifrs statement financial position severe hyperinflation entity first ifrs financial statement disclose explanation entity ceased functional currency subject severe hyperinflation
39,purpose disclosure,starting point reconciliation total comprehensive income accordance previous gaap period entity report total profit loss accordance previous gaap
40,requirement entity disclose understanding current interim period mean,however ias34 also requires entity disclose event transaction material understanding current interim period
41,definition ifrs,entity apply ifrs first ifrs financial statement period beginning afterjuly 2009
42,period beginning afterjulythe amendment ,entity apply amendment  d1 d23 annual period beginning afterjuly 2009
43,change made paragraphsand c4 ifrs,ifrs3 business combination amended paragraphsc1 c4
44,effect amendment earlier period,entity applies ias27 earlier period amendment applied earlier period
45,purpose ,entity apply  annual period beginning afterjuly 2009
46,effect amendment entity ifrs,entity applies ias27 earlier period amendment applied earlier period
47,purpose amendment,entity apply amendment annual period beginning afterjanuary 2010
48,definition ifric 19,ifricextinguishing financial liability equity instrument added  d25
49,purpose amendment,entity apply amendment annual period beginning afterjanuary 2011
50,definition fixed date,severe hyperinflation removal fixed date firsttime adopter issued decemberamended  b2 d1 d20 added  31c d26d30
51,meaning statement,ifrs10 consolidated financial statement ifrs11 joint arrangement issued mayamended paragraphsb7 c1 d1 d14 d15 added  d31
52,definition fair value ifrs13,ifrs13 fair value measurement issued maydeleted paragraphamended definition fair value appendix amended  d15 d20
53,entity apply ias1 amended,entity apply amendment applies ias1 amended june 2011
54,entity apply ias19,entity apply amendment applies ias19
55,definition ifricstripping cost production phase,ifricstripping cost production phase surface mine added  d32 amended  d1
56,purpose  entity apply  b1,entity apply  annual period beginning afterjanuary 2013
57,meaning  b10 b11, b10 b11 refer ifrs9
58,purpose amendment,entity apply amendment retrospectively accordance ias8 accounting policy change accounting estimate error annual period beginning afterjanuary 2013
59,purpose amendment,entity apply amendment retrospectively accordance ias8 accounting policy change accounting estimate error annual period beginning afterjanuary 2013
60,purpose amendment,entity apply amendment retrospectively accordance ias8 accounting policy change accounting estimate error annual period beginning afterjanuary 2013
61,entity apply amendment,entity apply amendment applies ifrs11
62,definition entity applies amendment ifrs10,entity apply amendment annual period beginning afterjanuary 2014
63,effect amendment earlier period,entity applies ifrs14 earlier period amendment applied earlier period
64,definition amendment ifrs11,entity apply amendment annual period beginning afterjanuary 2016
65,entity apply amendment,entity apply amendment applies ifrs15
66,definition ifrs9,entity apply amendment applies ifrs9
67,purpose amendment,entity apply amendment annual period beginning afterjanuary 2016
68,meaning amendment,ifrs16 lease issued januaryamended paragraphsc4 d1 d7 d8b d9 deleted  d9a added  d9bd9e
69,definition ifricforeign currency transaction advance consideration,ifricforeign currency transaction advance consideration added  d36 amended  d1
70,purpose amendment,entity apply amendment annual period beginning afterjanuary 2018
71,entity apply amendment,entity apply amendment applies ifrs17
72,effect amendment,entity apply amendment applies ifric 23
73,purpose amendment,entity applies amendment earlier period disclose fact
74,definition deferred tax related asset liability,deferred tax related asset liability arising single transaction issued mayamended  b1 added  b14
75,definition lack exchangeability,lack exchangeability issued augustamended  31c d27
76,ifrs1,ifrs supersedes ifrs1
77,objective ifrs,objective ifrs specify financial reporting entity undertakes sharebased payment transaction
78,purpose ifrs,absence specifically identifiable good service circumstance may indicate good service received case ifrs applies
79,purpose  2,sharebased payment transaction may settled another group entity behalf entity receiving acquiring good service
80,meaning ifrs,purpose ifrs transaction employee hisher capacity holder equity instrument entity sharebased payment transaction
81,scope ifrs3,noted paragraphthis ifrs applies sharebased payment transaction entity acquires receives good service
82,ifrs apply sharebased payment transaction,ifrs apply sharebased payment transaction entity receives acquires good service contract within scope paragraphsof ias32 financial instrument presentationor  2
83,definition fair value ifrs13,ifrs us term fair value way differs respect definition fair value ifrs13 fair value measurement
84,issue whether employee benefit trust treated extension sponsor,issue whether guidance developed accounting treatment sponsor equity instrument held employee benefit trust sponsor separate financial statement
85,definition sharebased payment transaction,entity recognise corresponding increase equity good service received equitysettled sharebased payment transaction liability good service acquired cashsettled sharebased payment transaction
86,definition sharebased payment transaction,good service received acquired sharebased payment transaction qualify recognition asset recognised expense
87,definition expense,typically expense arises consumption good service
88,estimate fair value good service received,entity estimate reliably fair value good service received entity measure value corresponding increase equity indirectly reference to2 fair value equity instrument granted
89,fair value equity instrument granted,apply requirement paragraphto transaction employee others providing similar services3 entity measure fair value service received reference fair value equity instrument granted typically possible estimate reliably fair value service received explained  12
90,best way measure fair value employee service received,difficulty measuring directly fair value service received entity measure fair value employee service received reference fair value equity instrument granted
91,entity determine fair value good service received,fair value measured date entity obtains good counterparty render service
92,true cashsettled transaction liability remeasured,however cashsettled transaction liability remeasured end reporting period settled accordance  3033
93,definition term equity instrument,case grant date entity recognise service received full corresponding increase equity
94,definition performance condition,example employee granted share option conditional upon completing three year service entity presume service rendered employee consideration share option received future threeyear vesting period
95,fair value equity instrument granted,transaction measured reference fair value equity instrument granted entity measure fair value equity instrument granted measurement date based market price available taking account term condition upon equity instrument granted
96,fair value equity instrument,market price available entity estimate fair value equity instrument granted using valuation technique estimate price equity instrument would measurement date arm length transaction knowledgeable willing party
97,purpose ,appendix b contains guidance measurement fair value share share option focusing specific term condition common feature grant share share option employee
98,definition grant equity instrument,grant equity instrument might conditional upon satisfying specified vesting condition
