,question,answer
0,general ledger account,general ledger account account record used sort store summarize company transaction
1,difference general ledger control account,general ledger account become summary record referred control account
2,common example general ledger account become control,common example general ledger account become control account account receivable
3,calculate sale tax included company receipt,calculate sale tax included company receipt first calculate amount sale revenue company earned
4,difference sale tax sale revenue,illustrate let sale revenue let 0
5,accounting entry record information,general journal form accounting entry record information debit cashcredit sale sale revenuecredit sale tax payable 2100
6,account payable,account payable involves amount owed company supplier good service company received credit
7,current asset account,account receivable current asset account company record amount right collect customer received good service credit
8,difference credit sale debit sale,company record amount sale credit sale debit account receivable
9,term accrual expense mean,accrual expense usually involve accrual adjusting entry increase company expense increase current liability
10,example accrual expense liability,one example accrual expense liability major repair occurs final month accounting year paid bill received first month following year
11,happens utility us natural gas andor coal plus many employee generate electricity,instance december utility likely us natural gas andor coal plus many employee generate electricity used customer december
12,debtor,debtor person company entity owes money
13,creditor,creditor could bank supplier person provided money good service company expects paid later date
14,difference manufacturer retailer,manufacturer sell merchandise retailer term netdays manufacturer creditor retailer debtor
15,largest expense reported income statement,cost good sold likely largest expense reported income statement
16,cost good sold year,using dollar amount let assume retailer cost merchandise purchase year waswhile cost inventory increased fromto 120000
17,common cost flow assumption,common cost flow assumption include fifo lifo average
18,definition source business asset,owner equity also viewed source business asset
19,fair market value business,due cost principle amount owner equity considered fair market value business
20,petty cash,amount petty cash fund recorded current asset account entitled petty cash petty cash fund established
21,prepaid expense,generally amount prepaid expense used within one year reported company balance sheet current asset
22,amount paid advance insurance coverage company vehicle,amount paid often recorded current asset account prepaid insurance
23,accrued expense,accrued expense expense occurred yet recorded company general ledger
24,agreement three month december february,agreement requires company repay theon februaryalong withof interest three month december february
25,interest expense company incurred december,without adjusting entry accrue interest expense incurred company december company financial statement decemberwill reporting theof interest company incurred december
26,control account,control account keep general ledger free detail still correct balance preparing company financial statement
27,amount specific customer still owes,hence want find amount specific customer still owes purchase credit shown control account
28,general ledger,general ledger contains account used company sort store amount company transaction
29,general journal,entry general journal include date account amount debited account amount credited brief description
30,bank debit memo,bank debit memo item company bank account statement reduces company checking account balance
31,difference cost sale cost good sold,cost sale often line shown manufacturer retailer income statement instead cost good sold
32,financial statement focus user,many user financial statement must comply generally accepted accounting principle known gaap u gaap
33,topic distributed outside company,topic involve analysis report distributed outside company used management decision making planning control business operation
34,risk cash equivalent,word little risk collecting full amount reported
35,depreciation,depreciation defined systematic expensing cost asset equipment building vehicle etc
36,florist net income,recent year florist cash revenue ofcash expense ofand depreciation expense 8000
37,amount depreciation expense appropriate period time indicated,depreciation reported income statement amount depreciation expense appropriate period time indicated heading income statement
38,much depreciation reported balance sheet aftermonths use,aftermonths use accumulated depreciation reported balance sheet 24000
39,contra asset account,debit balance contra asset account violate cost principle
40,common account contra asset,account appears next current asset account receivable
41,difference debit credit,debit credit part accounting double entry system
42,common way use word charge,sometimes word charge used place debit
43,possible prove account balance correct,reconciling account likely mean proving documenting account balance correct
44,best way reconcile company bank statement,company reconciles bank statement reconciling balance general ledger account cash bank information
45,could meaning number,parenthesis around number could variety meaning
46,difference dividend share common stock,stock pay dividend distribution corporation profit owner
47,difference bond longterm debt,interest expense reduces corporation earnings taxable income
48,exception cost principle,exception change market value shortterm investment capital stock corporation whose share stock actively traded major stock exchange
49,cost principle,cost principle prohibits company recording asset acquired transaction
50,trial balance,trial balance list account general ledger balance
51,balance sheet,balance sheet prepared order report organization financial position end accounting period midnight december 31
52,company entry record loan payment,let assume company loan payment ofconsisting interest payment ofand principal payment 1500
53,nominal account,since balance carry forward next accounting year nominal account also referred temporary account
54,nominal account,nominal account almost always income statement account account recording revenue expense gain loss
55,account,accounting account record general ledger used sort store transaction
56,purpose statement cash flow,cash flow statement one required financial statement issued u
57,purpose cash flow statement,addition cash amount arranged three type activity cash flow statement discloses amount interest paid amount income tax paid significant investing financing activity require use cash
58,title general ledger liability account,title general ledger liability account may title unearned revenue deferred revenue customer deposit
59,much company able charge account design revenue,therefore record adjusting entry dated januarythat debit deferred revenue forand credit income statement account design revenue 20000
60,expense,expense cost company incurs us earns revenue
61,expenditure,expenditure may purchase asset reduction liability distribution owner could payment accounting period amount becomes expense
62,difference expense expenditure,example illustrate difference expense expenditure
63,basic accounting equation statement financial position,statement financial position must reflect basic accounting principle guideline cost matching full disclosure principle name
64,difference secured unsecured creditor,creditor referred secured creditor registered lien company asset
65,gross margin,gross margin amount remaining retailer manufacturer subtracts cost good sold net sale
66,difference two,let use sp indicate product required selling price mu represent gross profit state gross margin 0
67,common type asset likely listed company,example asset likely listed company balance sheet include cash temporary investment account receivable inventory prepaid expense longterm investment land building machine equipment furniture fixture vehicle goodwill
68,connection balance sheet income statement,illustrate connection balance sheet income statement let assume company owner equity wasat beginning year wasat end year
69,difference income statement account balance sheet account,balance sheet account also referred permanent real account end accounting year balance account closed
