,question,answer
0,asset coverage ratio,asset coverage ratio measure ability company cover debt obligation asset
1,capitalization ratio,capitalization ratio reflects extent company operating equity
2,debt ratio,debt ratio give user quick measure amount debt company balance sheet compared asset
3,debt service coverage ratio,corporate finance example debtservice coverage ratio explained amount assessable cash flow congregate annual interest principal payment debt forgetting sinking fund payment
4,debttoequity ratio,debttoequity ratio financial ratio indicating relative proportion entity equity debt used finance entity asset
5,debttoincome ratio,debttoincome ratio expressed personal finance measure helpful comparing individual debt payment income generated himher
6,ratio used creditor rating agency assessment defaulting probability issued,ratio facilitates investor approximate time period required firm business pay debt ignoring factor like interest depreciation tax amortization
7,definition equity multiplier,finance equity multiplier defined measure financial leverage
8,equity ratio,equity ratio refers financial ratio indicative relative proportion equity applied finance asset company
9,definition financial leverage,financial leverage aptly described extent business investor using borrowed money
10,fixed asset net worth,fixed asset net worth ratio measuring solvency company
11,definition fixed charge coverage ratio,ratio calculated summing earnings interest tax ebit fixed charge divided fixed charge tax interest
12,interest coverage ratio,interest coverage ratio measure number time company could make interest payment debt ebit
13,ratio long term debt capital company,total capital company includes long term debt stock company
14,long term debt total asset ratio,ratio calculated yearly decrease ratio would denote company fairing well le dependant debt business need
15,noncurrent asset net worth ratio,noncurrent asset net worth ratio isa measure extent company investment lowliquid noncurrent asset
16,total expense ratio,total expense ratio ratio total fund cost total fund asset
17,definition acidtest ratio,term acidtest ratio also known quick ratio
18,cash ratio,potential creditor use ratio measure company liquidity easily service debt cover shortterm liability
19,definition net working capital,net working capital current asset minus current liability
20,quick ratio,quick ratio measure company ability meet shortterm obligation using liquid asset
21,definition working capital,working capital frequently used measure firm ability meet current obligation
22,alternative term term current ratio,working capital ratio alternative term term current ratio
23,croci,compare cash earned money invested
24,dupont formula,dupont formula method assessing company return equity breaking three part
25,meaning ebt,earnings interest tax used measure ability firm generate income various operation specific course time
26,plowback ratio,per definition earning retention ratio plowback ratio ratio measure amount earnings retained dividend paid shareholder
27,definition ebit,ebit measure entity profitability excludes interest income tax expense
28,definition ebitda,ebitda indicator company financial performance
29,definition ebitda,short earnings interest tax depreciation amortization rent management fee ebitdarm refers financial performance measure used comparison common measure like ebitda situation rent management fee company represent largerthannormal percentage operating cost
30,definition earnings tax,earnings tax defined money retained company deducting money due paid tax
31,effective rate return investment,effective rate return rate interest investment annually compounding occurs
32,definition gross margin,gross margin reveal much company earns taking consideration cost incurs producing product service
33,net interest margin,net interest margin expressed performance metric examines success firm investment decision contrasted debt situation
34,definition net profit margin,net profit margin displayed percentage
35,noplat,measurement profit includes cost tax benefit debt financing
36,explain operating expense ratio,operating expense ratio explained way quantifying cost operating piece property compared income brought property
37,operating margin,operating margin ratio operating income divided net sale
38,overhead ratio,overhead ratio comparison operating expense total income related production good service
39,definition profit analysis,managerial economics profit analysis form cost accounting used elementary instruction short run decision
40,relative return,relative return refers return achieved asset specific time period contrasted benchmark
41,company generate profit leverage,show company ability generate profit leverage rather using leverage
42,definition return average asset,return average asset defined indicator used evaluate profitability asset firm
43,difference return average capital employed return capital employed,return average capital employed ratio reveals profitability investment made company
44,return average equity,return average equity refers performance company financial year
45,definition return capital employed,capital employed equal company equity plus noncurrent liability word longterm fund used company
46,definition term return debt,putting way return debt refers amount profit generated every dollar held company debt
47,return equity,return equity amount net income returned percentage shareholder equity
48,capital return investment business,roic capital return investment business hightech way examining stock return investment corrects specialty return asset return equity
49,commonly used approach evaluating financial consequence business investment,one commonly used approach evaluating financial consequence business investment decision action
50,return net asset,return net asset comparison net income net asset
51,definition term return research capital,return research capital element productivity growth research development one technique employed company develop new product service sale
52,difference higher return retained earnings lower return dividend,higher return retained earnings indicates company would better reinvesting business
53,return revenue,return revenue measure profitability compare net income company revenue
54,definition return sale,return sale ratio widely used evaluate entity operating performance
55,definition measure performance human resource company,measure performance human resource company
56,risk adjusted return,risk adjusted return apply investment fund portfolio individual security
57,many time given period company pay average account payable,ratio show many time given period company pay average account payable
58,ratio asset sale,ratio help measure productivity company asset
59,time required firm turn purchase cash receipt customer,time required business turn purchase cash receipt customer
60,dpo,day payable outstanding account payableturnover expressed day
61,day sale outstanding,day sale outstanding average collection period day account receivable
62,defensive interval,defensive interval ratio also called defensive interval period
63,much company fixed asset used generate revenue,ratio tell u effectively efficiently company using fixed asset generate revenue
64,definition inventory turnover,inventory turnover measure number time inventory sold used given time period one year
65,quickly company collect outstanding cash balance customer accounting period,ratio determines quickly company collect outstanding cash balance customer accounting period
66,many time financial obligation company covered earnings,ratio tell number time financial obligation company covered earnings
67,definition cash flow management,analyzing managing cash flow company known cash flow management
68,cash flow return investment,cash flow return investment indicator help firm evaluate performance investment product
69,good indicator financial health company,higher free cash flow operating cash flow ratio good indicator financial health company
70,ratio company operating cash flow sale revenue,ratio give analyst investor indication ability company generate cash sale
71,pricecash flow ratio,pricecash flow ratio investment valuation ratio used investor evaluate attractiveness investing company share
72,business valuation,valuation used participant financial market determination price paid received willingly consummate business sale
73,dividend payout ratio,dividend payout ratio compare dividend paid company earnings
74,compare dividend share price,also compare dividend share price see much cash flow investor get investment company share
75,dividend yield,dividend yield amount company pay share holder annually investment
