,enquiries
0,what is the asset coverage ratio?
1,what is the capitalization ratio?
2,what is debt ratio?
3,What is the debt service coverage ratio?
4,what is debt-to-equity ratio?
5,what is debt-to-income ratio?
6,What is the ratio used by creditors and rating agencies for assessment of defaulting probability on an issued?
7,What is the definition of equity multiplier?
8,what is the equity ratio?
9,What is the definition of financial leverage?
10,what is fixed assets to net worth?
11,What is the definition of fixed charge coverage ratio?
12,what is the interest coverage ratio?
13,What is the ratio of the long term debt to the capital of a company?
14,What is the long term debt to total assets ratio?
15,what is the non-current assets to net worth ratio?
16,what is a total expense ratio?
17,What is the definition of acid-test ratio?
18,what is a cash ratio?
19,What is the definition of net working capital (NWC)?
20,what is quick ratio?
21,What is the definition of working capital?
22,what is the alternative term for the term current ratio?
23,what is a croci?
24,what is the dupont formula?
25,what is the meaning of ebt?
26,what is the plowback ratio?
27,What is the definition of EBIT?
28,What is the definition of EBITDA?
29,What is the definition of EBITDA?
30,what is the definition of earnings before taxes?
31,what is the effective rate of return on an investment?
32,What is the definition of gross margin?
33,What is the net interest margin?
34,What is the definition of net profit margin?
35,What is a NOPLAT?
36,what is the operating margin?
37,What is the overhead ratio?
38,What is the definition of profit analysis?
39,what is relative return?
40,What is the definition of return on average assets?
41,What is the difference between the return on average capital employed and the return on capital employed?
42,What is the return on average equity?
43,What is the definition of a return on capital employed?
44,What is the definition of the term return on debt?
45,what is return on equity?
46,what is the capital which is return on investment in business?
47,What is the most commonly used approach for evaluating the financial consequences of business investments?
48,what is the return on net assets?
49,What is the definition of the term return on research capital?
50,What is the difference between a higher return on retained earnings and a lower return on dividend?
51,What is the return on revenue (ROR)?
52,What is the definition of a return on sales?
53,What is the definition of a measure of performance of human resources of a company?
54,What is risk adjusted return?
55,What is the ratio of assets to sales?
56,what is the time required for a firm to turn purchases into cash receipts from customers?
57,what is the dpo?
58,what is days sales outstanding?
59,what is the defensive interval?
60,What is the definition of inventory turnover?
61,What is the definition of cash flow management?
62,what is a cash flow return on investment?
63,What is the ratio of a company's operating cash flows to its sales revenue?
64,what is price/cash flow ratio?
65,what is a business valuation?
66,what is dividend payout ratio?
67,what is dividend yield?
68,What is the value of a company's business?
69,What is the definition of the term?
70,What is the EV/EBITDA ratio?
71,what is the Gordon Growth Model?
72,what is the risk assessment before a mortgage is accepted?
73,what is the net asset value per share?
74,what is the price/earnings to growth ratio?
75,what is the price to earnings ratio?
76,what is the price-to-research ratio?
77,what is price/book value ratio?
78,What is the price to sales ratio?
79,What is the role of finance in the stock market?
80,what is the APV of a project?
81,What is the Altman Z Score?
82,what is the interest rate on an account?
83,what is annualized rate of return?
84,What is the meaning of annuities?
85,What is the average annual growth rate?
86,what is the average annual return?
87,what is a bad debt?
88,what is a balance sheet analysis?
89,What is the definition of book value per equity share?
90,what is a break-even point?
91,What is the definition of the term capital asset pricing?
92,what is capital budgeting?
93,What is capital employed?
94,what is the cash burn rate?
95,What is the definition of a coefficient of variation?
96,What is a company analysis?
97,what is the growth rate of a company?
98,What is the term compounding?
99,What is the difference between sales revenue and variable costs?
100,What is the cost of debt?
101,What are the risks associated with foreign investments?
102,What is the definition of credit risk?
103,what is a credit score?
104,What is the definition of currency risk?
105,Why is the number of fraud cases increasing every year?
106,what is an annuity?
107,What is the ratio of financial and operational leverage?
108,What is the degree of financial leverage?
109,What is the degree of operating leverage?
110,what is the discount rate?
111,what is discounted cash flow?
112,what is the underlying idea of the discounted dividend model?
113,What is the main aim of diversification in a company?
114,what is the definition of due diligence?
115,What is the EOQ model?
116,What is the definition of economic risk?
117,what is elasticity of demand?
118,What is a Explicit Cost?
119,What is factor analysis?
120,What is a financial analysis report?
121,What is the definition of financial modeling?
