question,answer
what is a general ledger account?,"A general ledger account is an account or record used to sort, store and summarize a company’s transactions."
What is the difference between a general ledger and a control account?,Some general ledger accounts can become summary records and will be referred to as control accounts.
What is the most common example of a general ledger account that can become a control?,A common example of a general ledger account that can become a control account is Accounts Receivable.
How do you calculate the sales tax that is included in a company’s receipts?,"To calculate the sales tax that is included in a company’s receipts, we first calculate the amount of sales revenue that the company has earned."
What is the difference between the sales tax and the sales revenue?,"To illustrate, let S = the sales revenue (which excludes the sales tax) and let 0."
What is the accounting entry to record this information?,"In general journal form the accounting entry to record this information is: debit Cash $32,100; credit Sales or Sales Revenue $30,000; credit Sales Tax Payable $2,100."
what is a 'accounts payable'?,Accounts payable involves the amounts owed by a company to its suppliers (vendors) for goods or services the company received on credit.
what is a current asset account?,Accounts receivable is a current asset account in which a company records the amounts it has a right to collect from customers who received goods or services on credit.
What is the difference between a credit sale and a debit sale?,Company A will record the amount of the sale with a credit to Sales and a debit to Accounts Receivable.
What does the term accrual of expenses mean?,The accrual of an expense will usually involve an accrual adjusting entry that increases a company’s expenses and increases its current liabilities.
What is an example of an accrual of an expense and liability?,"One example of an accrual of an expense and liability is a major repair that occurs in the final month of the accounting year, but is not paid until the bill is received in the first month of the following year."
What happens when the utility uses natural gas and/or coal plus many employees to generate the electricity?,"For instance, during December the utility likely uses natural gas and/or coal plus many employees to generate the electricity used by its customers in December."
what is a debtor?,"A debtor is a person, company, or other entity that owes money."
What is a creditor?,"A creditor could be a bank, supplier or person that has provided money, goods, or services to a company and expects to be paid at a later date."
what is the difference between a manufacturer and a retailer?,"If a manufacturer sells merchandise to a retailer with terms of net 30 days, the manufacturer is the creditor and retailer is the debtor."
What is the largest expense reported on the income statement?,The cost of goods sold will likely be the largest expense reported on the income statement.
What is the cost of goods sold for a year?,"Using dollar amounts, let’s assume that a retailer’s cost of its merchandise purchases for a year was $300,000 while the cost of its inventory increased from $100,000 to $120,000."
What are some common cost flow assumptions?,"Some common cost flow assumptions include FIFO, LIFO, and average."
what is the definition of a source of the business assets?,Owner’s equity can also be viewed (along with liabilities) as a source of the business assets.
